Nr_packets_up,Nr_packets_down,Bytes_up,Bytes_down,Bursts,Bytes_in_bursts,Trace_time,Answer
27,23,3343,43404,19,15264,12.027652,https://www.gayboystube.com/
23,17,2894,42776,17,18882,0.204293,https://www.gayboystube.com/
19,17,2534,45222,13,13071,0.207941,https://www.gayboystube.com/
18,19,2444,45415,15,16249,0.205829,https://www.gayboystube.com/
19,19,2534,45177,19,22536,0.20634,https://www.gayboystube.com/
19,19,2454,45383,17,17730,0.210437,https://www.gayboystube.com/
21,19,2714,43768,17,16787,0.206341,https://www.gayboystube.com/
22,17,2804,45280,15,16249,0.208452,https://www.gayboystube.com/
19,19,2534,42232,17,16787,0.21146,https://www.gayboystube.com/
21,18,2714,45249,17,16855,0.208389,https://www.gayboystube.com/
20,18,2624,45165,17,17189,0.204804,https://www.gayboystube.com/
18,18,2444,45292,19,22067,0.206405,https://www.gayboystube.com/
20,18,2624,42789,17,19427,0.208388,https://www.gayboystube.com/
21,18,2714,42275,15,13609,0.207876,https://www.gayboystube.com/
21,19,2702,45262,18,19431,0.908351,https://www.gayboystube.com/
21,17,2714,45210,11,12878,0.211461,https://www.gayboystube.com/
21,18,2714,45295,15,13091,0.211525,https://www.gayboystube.com/
19,18,2534,45320,17,19427,0.211461,https://www.gayboystube.com/
18,18,2444,45292,13,13071,0.224773,https://www.gayboystube.com/
21,19,2714,45178,15,16181,0.204805,https://www.gayboystube.com/
23,21,2994,40134,15,9508,11.878149,https://www.sicredi.com.br/home/
21,17,2718,36024,21,20619,0.235525,https://www.sicredi.com.br/home/
20,18,2628,39112,21,20900,0.232005,https://www.sicredi.com.br/home/
19,18,2538,39112,19,20449,0.231428,https://www.sicredi.com.br/home/
20,19,2616,39222,20,19888,0.603648,https://www.sicredi.com.br/home/
18,17,2448,39080,21,24790,0.229893,https://www.sicredi.com.br/home/
19,17,2538,36037,21,20267,0.237636,https://www.sicredi.com.br/home/
20,15,2628,32573,15,14093,0.221701,https://www.sicredi.com.br/home/
19,17,2538,38581,21,20466,0.229893,https://www.sicredi.com.br/home/
20,18,2628,39111,19,20168,0.230917,https://www.sicredi.com.br/home/
20,17,2628,39015,19,17722,0.247365,https://www.sicredi.com.br/home/
22,18,3387,39109,17,16987,0.232965,https://www.sicredi.com.br/home/
21,18,2718,39195,19,20168,0.237573,https://www.sicredi.com.br/home/
19,16,2538,36009,19,22876,0.235012,https://www.sicredi.com.br/home/
18,17,2448,39015,19,18911,0.23354,https://www.sicredi.com.br/home/
21,17,2719,39020,23,24085,0.724548,https://www.sicredi.com.br/home/
19,18,2538,39107,19,20165,0.233989,https://www.sicredi.com.br/home/
19,17,2538,39081,19,23225,0.228869,https://www.sicredi.com.br/home/
19,18,2538,39108,19,17438,0.233477,https://www.sicredi.com.br/home/
19,18,2538,39125,19,19816,0.2361,https://www.sicredi.com.br/home/
