Nr_packets_up,Nr_packets_down,Bytes_up,Bytes_down,Bursts,Bytes_in_bursts,Trace_time,Answer
29,44,3413,44143,41,19989,12.138257,https://www.datastax.com/
30,46,4651,45466,37,17143,2.091665,https://www.datastax.com/
30,46,3519,46730,38,16963,1.214528,https://www.datastax.com/
37,42,7159,44444,37,19406,1.017937,https://www.datastax.com/
24,42,2917,45709,35,19304,1.005649,https://www.datastax.com/
28,46,3325,45728,24,9076,1.033297,https://www.datastax.com/
37,55,5871,51054,57,23774,1.244241,https://www.datastax.com/
24,39,2917,42546,37,17774,0.915025,https://www.datastax.com/
25,42,3017,47242,29,15842,0.939601,https://www.datastax.com/
19,35,2477,40816,28,15774,1.104977,https://www.datastax.com/
23,38,2829,43578,33,18550,0.900177,https://www.datastax.com/
25,41,3005,45261,39,18826,0.954449,https://www.datastax.com/
23,41,2829,44252,35,17773,1.117777,https://www.datastax.com/
18,36,2389,42873,25,12007,1.051729,https://www.datastax.com/
25,40,3005,45243,35,16439,0.914001,https://www.datastax.com/
24,41,2917,46789,29,14483,0.650257,https://www.datastax.com/
25,41,3017,43838,33,16600,0.983122,https://www.datastax.com/
25,41,3005,43900,31,15194,1.150609,https://www.datastax.com/
26,42,3105,48329,35,19554,0.972881,https://www.datastax.com/
24,38,2917,43761,33,15230,0.625169,https://www.datastax.com/
14,15,2212,11039,15,4803,12.427601,https://www.neptectechnologies.com/
8,11,1038,10116,11,4198,1.188945,https://www.neptectechnologies.com/
6,7,1379,6712,6,2286,1.262673,https://www.neptectechnologies.com/
9,11,1643,10116,11,2858,1.249361,https://www.neptectechnologies.com/
9,11,1643,10116,11,4198,1.184849,https://www.neptectechnologies.com/
8,11,1555,10116,9,2562,1.200785,https://www.neptectechnologies.com/
8,11,1555,10116,13,4666,1.174097,https://www.neptectechnologies.com/
9,10,1643,8568,11,3030,1.226834,https://www.neptectechnologies.com/
8,11,1555,10116,9,2562,1.169489,https://www.neptectechnologies.com/
9,10,1643,8568,9,2562,1.213521,https://www.neptectechnologies.com/
9,10,1643,8568,11,4198,1.220241,https://www.neptectechnologies.com/
10,11,1732,8668,15,4683,1.468561,https://www.neptectechnologies.com/
9,11,1643,10116,15,4962,1.227345,https://www.neptectechnologies.com/
9,11,1643,10116,15,4962,1.220177,https://www.neptectechnologies.com/
9,11,1643,10116,11,4198,1.250961,https://www.neptectechnologies.com/
9,11,1643,10116,13,4494,1.213521,https://www.neptectechnologies.com/
8,12,1555,10324,11,4198,1.202769,https://www.neptectechnologies.com/
9,10,1643,10016,9,2670,1.174097,https://www.neptectechnologies.com/
8,11,1555,10116,11,4198,1.172049,https://www.neptectechnologies.com/
52,11,7769,10116,11,4242,1.610385,https://www.neptectechnologies.com/
