Nr_packets_up,Nr_packets_down,Bytes_up,Bytes_down,Bursts,Bytes_in_bursts,Trace_time,Answer
28,27,3438,61295,15,12316,11.493127,https://www.geeksforgeeks.org/
24,23,2970,60114,13,13322,0.211462,https://www.geeksforgeeks.org/
22,23,2790,60114,15,16460,0.217094,https://www.geeksforgeeks.org/
26,22,3150,57066,19,21150,0.213574,https://www.geeksforgeeks.org/
26,24,3151,60200,17,15051,1.078342,https://www.geeksforgeeks.org/
25,21,3060,57038,17,21100,0.212486,https://www.geeksforgeeks.org/
19,25,2520,60138,13,10526,0.215558,https://www.geeksforgeeks.org/
28,24,3318,60210,23,23184,0.211462,https://www.geeksforgeeks.org/
33,25,4668,60154,21,20322,0.264774,https://www.geeksforgeeks.org/
21,23,2700,60046,11,10116,0.225798,https://www.geeksforgeeks.org/
20,22,2393,57050,13,14466,0.222726,https://www.geeksforgeeks.org/
23,23,2880,57078,17,18012,0.215558,https://www.geeksforgeeks.org/
24,24,2970,60126,15,14874,0.214086,https://www.geeksforgeeks.org/
23,23,2880,60114,19,18422,0.22375,https://www.geeksforgeeks.org/
25,22,3060,57073,13,11736,0.222726,https://www.geeksforgeeks.org/
22,24,2791,57180,15,13515,0.892998,https://www.geeksforgeeks.org/
25,23,3060,60121,13,13322,0.224774,https://www.geeksforgeeks.org/
19,24,2520,60126,13,11736,0.213062,https://www.geeksforgeeks.org/
29,25,3519,60336,21,21537,0.91655,https://www.geeksforgeeks.org/
26,23,3150,57078,21,24288,0.218118,https://www.geeksforgeeks.org/
15,14,2262,22422,15,7746,11.531014,https://iwank.tv/en/
10,9,1769,21568,9,7015,0.258054,https://iwank.tv/en/
10,10,1769,21798,9,7015,0.258566,https://iwank.tv/en/
10,10,1769,21798,9,7015,0.26119,https://iwank.tv/en/
13,10,2039,21798,9,7015,0.25959,https://iwank.tv/en/
12,10,1949,21798,9,7015,0.25959,https://iwank.tv/en/
11,10,1859,21798,9,7015,0.263174,https://iwank.tv/en/
10,10,1769,21798,11,10153,0.26119,https://iwank.tv/en/
9,11,1679,21824,9,7015,0.260614,https://iwank.tv/en/
12,9,1949,18750,9,7015,0.258054,https://iwank.tv/en/
13,10,2039,21798,9,7015,0.25959,https://iwank.tv/en/
9,10,1679,21798,9,7015,0.259654,https://iwank.tv/en/
11,9,1859,18750,11,10153,0.263175,https://iwank.tv/en/
11,10,1859,21798,11,10153,0.262662,https://iwank.tv/en/
12,10,1949,21798,9,7015,0.25959,https://iwank.tv/en/
8,10,1589,21798,9,7015,0.275014,https://iwank.tv/en/
10,10,1769,21798,9,7015,0.25959,https://iwank.tv/en/
10,10,1769,21798,9,7015,0.260614,https://iwank.tv/en/
11,11,1847,21894,12,10225,0.500289,https://iwank.tv/en/
13,11,2040,21900,11,7208,1.093703,https://iwank.tv/en/
