Nr_packets_up,Nr_packets_down,Bytes_up,Bytes_down,Bursts,Bytes_in_bursts,Trace_time,Answer
514,996,55617,1516641,774,631122,1.106003,https://www.alliance4creativity.com/watch-it-legally/?utm_source=laroza.net&utm_medium=Domain&utm_campaign=Redirect
559,989,58500,1509753,869,712731,1.103936,https://www.alliance4creativity.com/watch-it-legally/?utm_source=laroza.net&utm_medium=Domain&utm_campaign=Redirect
566,976,66669,1451726,856,679334,1.127571,https://www.alliance4creativity.com/watch-it-legally/?utm_source=laroza.net&utm_medium=Domain&utm_campaign=Redirect
587,1068,62864,1587198,846,679261,1.178176,https://www.alliance4creativity.com/watch-it-legally/?utm_source=laroza.net&utm_medium=Domain&utm_campaign=Redirect
561,1017,59976,1532588,772,617421,1.136211,https://www.alliance4creativity.com/watch-it-legally/?utm_source=laroza.net&utm_medium=Domain&utm_campaign=Redirect
567,969,58975,1476032,854,688955,1.108032,https://www.alliance4creativity.com/watch-it-legally/?utm_source=laroza.net&utm_medium=Domain&utm_campaign=Redirect
157,294,16487,442179,241,190404,1.066048,https://www.alliance4creativity.com/watch-it-legally/?utm_source=laroza.net&utm_medium=Domain&utm_campaign=Redirect
644,1205,68871,1835022,947,769229,1.372225,https://www.alliance4creativity.com/watch-it-legally/?utm_source=laroza.net&utm_medium=Domain&utm_campaign=Redirect
537,943,59086,1429591,741,596121,1.100864,https://www.alliance4creativity.com/watch-it-legally/?utm_source=laroza.net&utm_medium=Domain&utm_campaign=Redirect
551,965,57483,1477295,780,640081,1.134674,https://www.alliance4creativity.com/watch-it-legally/?utm_source=laroza.net&utm_medium=Domain&utm_campaign=Redirect
543,973,57331,1491267,837,686302,1.106497,https://www.alliance4creativity.com/watch-it-legally/?utm_source=laroza.net&utm_medium=Domain&utm_campaign=Redirect
542,936,57411,1426328,798,648405,1.108051,https://www.alliance4creativity.com/watch-it-legally/?utm_source=laroza.net&utm_medium=Domain&utm_campaign=Redirect
521,912,56419,1359811,637,508794,1.117248,https://www.alliance4creativity.com/watch-it-legally/?utm_source=laroza.net&utm_medium=Domain&utm_campaign=Redirect
534,1002,55072,1537750,827,678380,1.123904,https://www.alliance4creativity.com/watch-it-legally/?utm_source=laroza.net&utm_medium=Domain&utm_campaign=Redirect
543,990,57013,1512725,817,665515,1.109632,https://www.alliance4creativity.com/watch-it-legally/?utm_source=laroza.net&utm_medium=Domain&utm_campaign=Redirect
577,1019,60508,1559500,861,704072,1.137728,https://www.alliance4creativity.com/watch-it-legally/?utm_source=laroza.net&utm_medium=Domain&utm_campaign=Redirect
580,1004,60968,1535922,874,713537,1.115731,https://www.alliance4creativity.com/watch-it-legally/?utm_source=laroza.net&utm_medium=Domain&utm_campaign=Redirect
559,992,59117,1520597,774,634949,1.119315,https://www.alliance4creativity.com/watch-it-legally/?utm_source=laroza.net&utm_medium=Domain&utm_campaign=Redirect
556,985,58424,1511210,780,638327,1.114771,https://www.alliance4creativity.com/watch-it-legally/?utm_source=laroza.net&utm_medium=Domain&utm_campaign=Redirect
569,980,59519,1504716,827,679003,1.112659,https://www.alliance4creativity.com/watch-it-legally/?utm_source=laroza.net&utm_medium=Domain&utm_campaign=Redirect
4086,4096,424563,6318392,3449,2838399,9.223763,https://www.diy.com/
701,1270,72346,1948529,956,782445,1.468992,https://www.diy.com/
616,1044,68339,1539114,666,525405,1.532559,https://www.diy.com/
452,887,45427,1309367,588,466968,1.396803,https://www.diy.com/
621,1145,63830,1744571,862,703829,1.430675,https://www.diy.com/
620,1107,63570,1662896,848,676249,1.417301,https://www.diy.com/
571,916,59918,1401720,720,586200,1.490574,https://www.diy.com/
599,1105,60684,1692809,734,597298,1.349696,https://www.diy.com/
39,51,3961,71975,51,36789,0.331858,https://www.diy.com/
31,92,5081,120188,44,24949,1.216083,https://www.diy.com/
58,92,6065,122853,56,37970,0.998995,https://www.diy.com/
75,119,7400,149059,103,67800,0.593491,https://www.diy.com/
54,103,5500,150153,77,56329,0.342035,https://www.diy.com/
58,105,5904,151773,73,52132,0.330323,https://www.diy.com/
58,103,6004,148808,85,63339,0.346131,https://www.diy.com/
57,105,5828,151848,80,58443,0.387603,https://www.diy.com/
55,105,5640,151735,77,56468,0.368723,https://www.diy.com/
58,107,5928,154888,80,59218,0.343059,https://www.diy.com/
49,107,5112,154868,72,52274,0.343571,https://www.diy.com/
58,108,5904,155050,89,63931,0.356435,https://www.diy.com/
