Nr_packets_up,Nr_packets_down,Bytes_up,Bytes_down,Bursts,Bytes_in_bursts,Trace_time,Answer
102,88,12769,238228,45,47762,0.581124,https://uioencryptedtraffic.no/master_files/2011_134
92,88,9645,257552,33,43039,0.246278,https://uioencryptedtraffic.no/master_files/2011_134
92,88,9645,257630,33,42977,0.255044,https://uioencryptedtraffic.no/master_files/2011_134
93,83,9735,236041,35,45635,0.258053,https://uioencryptedtraffic.no/master_files/2011_134
91,82,9555,239102,33,42977,0.276486,https://uioencryptedtraffic.no/master_files/2011_134
92,85,9645,243752,39,52511,0.249348,https://uioencryptedtraffic.no/master_files/2011_134
89,88,9375,254554,31,39799,0.254533,https://uioencryptedtraffic.no/master_files/2011_134
94,89,9925,254734,41,54407,1.126468,https://uioencryptedtraffic.no/master_files/2011_134
92,91,9645,260742,35,46155,0.265732,https://uioencryptedtraffic.no/master_files/2011_134
92,89,9645,257383,37,47153,0.264772,https://uioencryptedtraffic.no/master_files/2011_134
92,87,9645,254542,31,39799,0.251397,https://uioencryptedtraffic.no/master_files/2011_134
92,89,9633,257664,30,35075,0.579648,https://uioencryptedtraffic.no/master_files/2011_134
93,91,9736,257758,39,49351,0.328197,https://uioencryptedtraffic.no/master_files/2011_134
94,84,9897,239806,41,54429,0.400452,https://uioencryptedtraffic.no/master_files/2011_134
89,76,9375,223127,39,53666,0.280581,https://uioencryptedtraffic.no/master_files/2011_134
91,87,9555,251162,37,52026,0.245252,https://uioencryptedtraffic.no/master_files/2011_134
91,82,9555,239024,33,41676,0.25447,https://uioencryptedtraffic.no/master_files/2011_134
86,87,9105,254542,33,42977,0.247877,https://uioencryptedtraffic.no/master_files/2011_134
91,85,9555,248366,31,39799,0.261636,https://uioencryptedtraffic.no/master_files/2011_134
92,81,9645,240331,35,47536,0.273413,https://uioencryptedtraffic.no/master_files/2011_134
411,399,38355,1201373,135,203517,0.4793,https://uioencryptedtraffic.no/master_files/2017_697
413,399,38535,1210682,123,185467,0.488964,https://uioencryptedtraffic.no/master_files/2017_697
399,403,37275,1222953,131,198699,0.497221,https://uioencryptedtraffic.no/master_files/2017_697
411,397,38355,1210655,121,181271,0.476166,https://uioencryptedtraffic.no/master_files/2017_697
409,384,38175,1170583,121,182809,0.44295,https://uioencryptedtraffic.no/master_files/2017_697
405,388,37815,1182866,105,156865,0.473605,https://uioencryptedtraffic.no/master_files/2017_697
398,374,37185,1130066,125,191459,0.46599,https://uioencryptedtraffic.no/master_files/2017_697
400,375,36842,1142268,113,172270,0.434693,https://uioencryptedtraffic.no/master_files/2017_697
406,388,37905,1179865,111,165381,0.416772,https://uioencryptedtraffic.no/master_files/2017_697
412,404,38488,1211693,123,181878,0.643653,https://uioencryptedtraffic.no/master_files/2017_697
403,407,37623,1229156,116,174804,0.777216,https://uioencryptedtraffic.no/master_files/2017_697
408,415,38162,1248882,125,178183,0.829509,https://uioencryptedtraffic.no/master_files/2017_697
405,401,37815,1212247,121,182737,0.438788,https://uioencryptedtraffic.no/master_files/2017_697
406,388,37905,1175173,127,189417,0.483396,https://uioencryptedtraffic.no/master_files/2017_697
394,375,36825,1136489,123,184449,0.460293,https://uioencryptedtraffic.no/master_files/2017_697
406,401,39365,1209789,105,156298,1.259652,https://uioencryptedtraffic.no/master_files/2017_697
410,407,39334,1218051,136,199733,1.294912,https://uioencryptedtraffic.no/master_files/2017_697
404,407,37725,1229153,131,198699,0.435781,https://uioencryptedtraffic.no/master_files/2017_697
404,392,37725,1198135,109,162558,0.44698,https://uioencryptedtraffic.no/master_files/2017_697
404,400,37725,1210697,110,162299,1.342592,https://uioencryptedtraffic.no/master_files/2017_697
207,197,19995,589946,65,93825,0.359941,https://uioencryptedtraffic.no/master_files/2018_494
205,208,19815,626912,67,97003,0.34458,https://uioencryptedtraffic.no/master_files/2018_494
207,198,19995,586818,59,84116,0.319556,https://uioencryptedtraffic.no/master_files/2018_494
212,209,20481,609623,69,95636,1.010757,https://uioencryptedtraffic.no/master_files/2018_494
207,193,19995,579054,63,90490,0.334852,https://uioencryptedtraffic.no/master_files/2018_494
192,205,18645,611434,67,96704,0.329798,https://uioencryptedtraffic.no/master_files/2018_494
200,203,18842,608396,65,92164,0.34714,https://uioencryptedtraffic.no/master_files/2018_494
207,208,19995,626912,61,85931,0.326148,https://uioencryptedtraffic.no/master_files/2018_494
212,209,22435,616292,76,98871,1.147518,https://uioencryptedtraffic.no/master_files/2018_494
213,200,20523,590286,76,108399,1.152064,https://uioencryptedtraffic.no/master_files/2018_494
210,208,20265,626912,69,100181,0.320517,https://uioencryptedtraffic.no/master_files/2018_494
211,191,20355,577492,67,97003,0.326724,https://uioencryptedtraffic.no/master_files/2018_494
213,197,20535,589946,59,85228,0.317956,https://uioencryptedtraffic.no/master_files/2018_494
211,199,20355,589892,77,109817,0.335365,https://uioencryptedtraffic.no/master_files/2018_494
215,210,21114,624170,73,105149,0.324676,https://uioencryptedtraffic.no/master_files/2018_494
199,191,19275,577109,57,83806,0.329221,https://uioencryptedtraffic.no/master_files/2018_494
211,207,20355,623824,67,97003,0.315397,https://uioencryptedtraffic.no/master_files/2018_494
210,193,20265,580592,59,84291,0.318022,https://uioencryptedtraffic.no/master_files/2018_494
192,205,18645,614572,63,89109,0.32922,https://uioencryptedtraffic.no/master_files/2018_494
211,192,20355,580580,67,95865,0.328196,https://uioencryptedtraffic.no/master_files/2018_494
198,195,19185,582401,77,112893,0.337476,https://uioencryptedtraffic.no/master_files/2010_056
199,188,19275,565405,71,103359,0.349701,https://uioencryptedtraffic.no/master_files/2010_056
193,196,18735,579275,72,104610,0.341508,https://uioencryptedtraffic.no/master_files/2010_056
194,182,18825,549947,69,100181,0.32826,https://uioencryptedtraffic.no/master_files/2010_056
196,192,19005,566985,69,100181,0.343556,https://uioencryptedtraffic.no/master_files/2010_056
196,191,19005,575818,69,102874,0.321028,https://uioencryptedtraffic.no/master_files/2010_056
188,178,18285,529827,59,85672,0.342596,https://uioencryptedtraffic.no/master_files/2010_056
192,187,18645,556091,65,90681,0.317444,https://uioencryptedtraffic.no/master_files/2010_056
202,186,19533,550319,52,71651,0.383488,https://uioencryptedtraffic.no/master_files/2010_056
129,131,12975,393091,46,67427,0.344132,https://uioencryptedtraffic.no/master_files/2010_056
200,197,20741,582436,73,105234,0.468484,https://uioencryptedtraffic.no/master_files/2010_056
179,177,17475,526671,65,92788,0.36762,https://uioencryptedtraffic.no/master_files/2010_056
186,188,18105,563783,67,98384,0.32058,https://uioencryptedtraffic.no/master_files/2010_056
193,194,18212,582389,63,88586,0.359941,https://uioencryptedtraffic.no/master_files/2010_056
194,191,18837,570443,69,98891,0.414277,https://uioencryptedtraffic.no/master_files/2010_056
199,190,19275,566961,65,93825,0.311813,https://uioencryptedtraffic.no/master_files/2010_056
198,188,19185,560785,79,116071,0.370692,https://uioencryptedtraffic.no/master_files/2010_056
202,196,19545,585725,65,93643,0.316996,https://uioencryptedtraffic.no/master_files/2010_056
199,186,19275,560761,61,87469,0.335364,https://uioencryptedtraffic.no/master_files/2010_056
194,188,18825,559247,67,97003,0.31386,https://uioencryptedtraffic.no/master_files/2010_056
149,138,14775,410451,51,71511,0.291908,https://uioencryptedtraffic.no/master_files/2013_538
140,130,13965,388813,43,58867,0.331269,https://uioencryptedtraffic.no/master_files/2013_538
168,158,19899,458749,62,80413,1.173056,https://uioencryptedtraffic.no/master_files/2013_538
150,144,14865,428969,43,58867,0.282181,https://uioencryptedtraffic.no/master_files/2013_538
142,139,14145,410371,51,71586,0.339461,https://uioencryptedtraffic.no/master_files/2013_538
149,138,14775,407365,45,62045,0.289797,https://uioencryptedtraffic.no/master_files/2013_538
158,141,17759,419933,49,68601,0.957508,https://uioencryptedtraffic.no/master_files/2013_538
155,138,16481,398137,61,87531,0.347205,https://uioencryptedtraffic.no/master_files/2013_538
149,143,14775,428879,55,78872,0.30618,https://uioencryptedtraffic.no/master_files/2013_538
147,131,14595,391901,49,68401,0.281092,https://uioencryptedtraffic.no/master_files/2013_538
151,147,14955,429014,53,72614,0.742468,https://uioencryptedtraffic.no/master_files/2013_538
130,133,13065,391979,49,66931,0.323076,https://uioencryptedtraffic.no/master_files/2013_538
148,131,14685,390285,47,61014,0.33434,https://uioencryptedtraffic.no/master_files/2013_538
150,138,14865,407524,51,71280,0.279621,https://uioencryptedtraffic.no/master_files/2013_538
148,145,14685,428981,57,81113,0.301572,https://uioencryptedtraffic.no/master_files/2013_538
145,127,14415,378017,47,66604,0.312325,https://uioencryptedtraffic.no/master_files/2013_538
149,143,14775,428957,49,68401,0.279111,https://uioencryptedtraffic.no/master_files/2013_538
148,129,14685,384187,45,63426,0.302085,https://uioencryptedtraffic.no/master_files/2013_538
148,146,14685,425917,59,79766,0.309253,https://uioencryptedtraffic.no/master_files/2013_538
148,145,14685,428889,57,82050,0.325636,https://uioencryptedtraffic.no/master_files/2013_538
197,188,19095,558355,67,97003,0.359429,https://uioencryptedtraffic.no/master_files/2017_409
199,191,19276,570771,69,100181,0.338436,https://uioencryptedtraffic.no/master_files/2017_409
172,172,16845,513393,57,85480,0.339524,https://uioencryptedtraffic.no/master_files/2017_409
199,179,19275,529486,63,90503,0.305669,https://uioencryptedtraffic.no/master_files/2017_409
197,188,19095,564521,69,100037,0.316933,https://uioencryptedtraffic.no/master_files/2017_409
198,188,19185,566045,61,87469,0.3129,https://uioencryptedtraffic.no/master_files/2017_409
189,194,18375,578733,61,87469,0.313861,https://uioencryptedtraffic.no/master_files/2017_409
199,196,19263,584915,68,95687,0.95392,https://uioencryptedtraffic.no/master_files/2017_409
198,190,19185,562079,63,89032,0.305668,https://uioencryptedtraffic.no/master_files/2017_409
200,197,19677,578457,81,116233,0.393797,https://uioencryptedtraffic.no/master_files/2017_409
196,180,19005,542496,59,86984,0.3113,https://uioencryptedtraffic.no/master_files/2017_409
198,194,19186,581506,63,89119,0.541253,https://uioencryptedtraffic.no/master_files/2017_409
196,196,19005,584597,71,103359,0.349191,https://uioencryptedtraffic.no/master_files/2017_409
196,187,19005,566033,63,90647,0.322564,https://uioencryptedtraffic.no/master_files/2017_409
197,184,19095,549079,67,95465,0.323652,https://uioencryptedtraffic.no/master_files/2017_409
