Nr_packets_up,Nr_packets_down,Bytes_up,Bytes_down,Bursts,Bytes_in_bursts,Trace_time,Answer
109,155,11565,230243,123,95183,0.424466,2014_998
103,165,10821,244438,159,123403,1.209426,2014_998
96,158,10065,236341,161,127339,0.356946,2014_998
95,157,9983,234720,139,108300,0.377362,2014_998
93,158,9765,236268,139,108248,0.368146,2014_998
84,158,8769,236248,129,100898,0.374354,2014_998
86,157,8957,234793,145,113000,0.364562,2014_998
87,160,9069,239437,155,122287,0.387154,2014_998
101,163,10705,244081,158,124665,0.384019,2014_998
97,162,10189,242533,135,105037,0.378387,2014_998
99,160,10198,239437,167,131224,0.372306,2014_998
95,159,9965,237889,158,125603,0.369152,2014_998
93,157,9765,235938,155,122444,0.362578,2014_998
95,163,9985,244081,159,124620,0.365075,2014_998
100,164,10609,244175,144,114223,0.407058,2014_998
98,163,10309,242627,171,134467,0.37077,2014_998
101,163,10673,242627,169,132908,0.385043,2014_998
95,161,9977,240985,157,124067,0.365586,2014_998
95,165,9985,245723,159,124608,0.390226,2014_998
102,165,10713,245723,163,129083,0.380434,2014_998
85,156,8905,230867,137,104126,0.377938,2017_987
79,153,8317,226223,145,114059,0.365074,2017_987
87,156,9129,230867,135,104942,0.350227,2017_987
84,157,8901,232415,144,112984,0.354386,2017_987
96,156,10197,232321,157,122192,0.368146,2017_987
88,154,9265,229225,149,115456,0.37685,2017_987
91,155,9601,230773,149,116477,0.367187,2017_987
94,154,9997,229225,155,120508,0.382994,2017_987
89,156,9449,230867,109,82603,0.381011,2017_987
93,157,9825,231270,119,91778,0.385555,2017_987
90,152,9465,224675,153,118643,0.375827,2017_987
97,157,10273,232415,152,119672,0.369216,2017_987
92,156,9785,230867,145,113240,0.393234,2017_987
83,144,8801,212291,139,105798,0.354387,2017_987
91,154,9637,229225,137,107166,0.365587,2017_987
91,158,9078,233963,149,115955,0.359442,2017_987
81,156,8517,229722,137,106394,0.387666,2017_987
88,155,9253,230773,151,118175,0.373266,2017_987
87,155,9141,229319,151,117019,0.347667,2017_987
94,155,9949,229319,157,122011,0.371283,2017_987
