Nr_packets_up,Nr_packets_down,Bytes_up,Bytes_down,Bursts,Bytes_in_bursts,Trace_time,Answer
222,395,21521,601473,335,268720,0.662609,2016_873
259,395,25561,601473,353,284931,0.655441,2016_873
254,395,25377,601473,321,258233,0.680465,2016_873
262,385,25889,585993,375,302796,0.700497,2016_873
284,392,28633,596829,349,281092,0.696913,2016_873
254,385,25125,587447,315,252745,0.678417,2016_873
255,387,25149,591851,361,290081,0.667729,2016_873
252,379,24969,578159,337,270861,0.665681,2016_873
262,379,26145,576705,297,238866,0.755281,2016_873
253,380,25109,579707,303,243069,0.709137,2016_873
240,382,23709,581712,337,270740,0.656977,2016_873
252,391,24897,594002,331,263800,1.077841,2016_873
241,391,23601,596735,339,273304,0.659985,2016_873
228,391,22469,595281,329,264072,0.669777,2016_873
258,390,25649,593733,349,281468,0.694865,2016_873
256,394,24952,601379,334,268770,0.663057,2016_873
254,391,24572,595596,369,296784,0.701009,2016_873
250,386,23665,588995,325,261517,0.671313,2016_873
245,391,23973,595281,315,252376,0.678417,2016_873
252,377,24797,573609,343,275273,0.658513,2016_873
52,94,5953,133251,89,64543,0.308753,2012_338
50,91,5765,132896,71,52529,0.302673,2012_338
50,83,5703,119131,67,49422,0.311825,2012_338
55,94,6311,136159,91,69573,0.699409,2012_338
51,93,5877,136059,83,64876,0.297553,2012_338
51,93,5803,135919,89,68780,0.288273,2012_338
49,92,5689,131609,73,55175,0.287249,2012_338
51,88,5348,126877,71,52496,0.290897,2012_338
54,95,6129,136253,94,70607,1.13056,2012_338
51,95,5853,136428,96,71308,0.523264,2012_338
52,90,5965,129967,79,57914,0.313361,2012_338
52,93,5953,134617,81,60709,0.308305,2012_338
51,92,5330,131609,83,61749,0.280081,2012_338
49,95,5677,136253,83,63343,0.293905,2012_338
42,83,5073,117677,66,50167,0.284753,2012_338
52,95,5430,136253,87,66092,0.295441,2012_338
49,92,5689,134424,75,55801,0.296977,2012_338
49,93,5701,134611,89,68336,0.283153,2012_338
48,86,5601,125229,80,60892,0.303633,2012_338
50,94,5777,136159,93,71042,0.286225,2012_338
265,439,25718,670555,363,292089,0.720977,2015_1222
303,441,30506,673651,427,346092,0.733777,2015_1222
326,439,34761,660805,385,305462,12.050705,2015_1222
271,442,26314,672769,339,268892,0.827921,2015_1222
290,436,28506,665911,355,285453,0.757329,2015_1222
281,427,27394,651979,421,339805,0.764497,2015_1222
293,431,28850,658171,367,295473,0.719953,2015_1222
308,440,30506,672103,365,293873,0.748561,2015_1222
266,439,25614,671607,411,331292,0.697425,2015_1222
318,440,31454,673557,427,345218,0.766545,2015_1222
287,443,27982,676747,399,320630,0.753745,2015_1222
291,444,28458,676841,465,374893,0.735249,2015_1222
299,445,29314,679843,491,396454,0.776272,2015_1222
307,433,30374,662114,450,365536,0.809552,2015_1222
289,436,28210,664457,381,306668,0.737361,2015_1222
280,426,27338,648977,409,328921,0.728593,2015_1222
297,430,29206,653715,395,316794,0.733778,2015_1222
283,438,27614,669007,349,281400,0.795218,2015_1222
285,438,27778,667553,403,325835,0.755796,2015_1222
304,424,30062,647335,397,320429,0.741972,2015_1222
414,710,39173,1088971,658,532703,1.028181,2014_062
394,697,36734,1068847,609,494103,1.058901,2014_062
422,700,40141,1073491,682,553719,1.040978,2014_062
420,705,39745,1082685,645,523295,1.020495,2014_062
419,702,39641,1079186,677,550184,1.04661,2014_062
419,695,39701,1067112,645,522439,1.028688,2014_062
462,706,44425,1081325,650,527517,1.931904,2014_062
428,711,40749,1090519,657,532243,1.201236,2014_062
427,661,40897,1015954,565,458185,1.162319,2014_062
444,700,42541,1073491,697,566294,1.060949,2014_062
405,691,38013,1061019,663,536991,1.080916,2014_062
421,685,40129,1051725,663,537833,1.052754,2014_062
414,687,38618,1053367,679,550787,1.025104,2014_062
431,693,41045,1062655,625,505943,1.021582,2014_062
419,701,39657,1073754,645,522562,1.030735,2014_062
408,680,38349,1042531,678,549099,1.310336,2014_062
401,687,37549,1053367,643,520772,1.024594,2014_062
400,686,37609,1051819,552,446531,1.018955,2014_062
447,677,42953,1039341,657,532985,1.039949,2014_062
436,658,41497,1009929,517,417396,1.236558,2014_062
169,233,17429,352016,218,175136,0.50894,2012_629
187,237,19951,359668,266,213689,0.552527,2012_629
170,237,17445,358208,225,179013,0.500236,2012_629
175,236,18029,357085,225,180159,0.49051,2012_629
175,228,18137,344282,219,173793,0.510031,2012_629
172,239,17653,359850,249,196889,0.485904,2012_629
175,240,17949,361398,237,188338,0.486926,2012_629
171,238,17505,358302,229,182216,0.502799,2012_629
166,239,16981,361304,275,219647,0.493135,2012_629
172,239,17621,359850,239,189970,0.49819,2012_629
179,236,18421,356660,225,178603,0.491087,2012_629
170,235,17521,352373,229,182106,1.356879,2012_629
172,223,17689,336536,219,174312,0.535633,2012_629
165,239,16845,361304,202,160339,0.507407,2012_629
167,231,17089,347466,193,152102,0.483919,2012_629
169,239,17265,359850,261,208062,0.493071,2012_629
169,238,17277,359750,241,193755,0.494671,2012_629
176,223,18137,335082,227,181257,0.486927,2012_629
126,236,12477,355206,189,148992,0.49672,2012_629
162,238,16553,359756,239,190469,0.599568,2012_629
587,993,54492,1527117,893,726971,1.443982,2016_026
591,994,55401,1530119,865,703418,1.425999,2016_026
564,998,52305,1534857,949,772076,1.497231,2016_026
581,997,53953,1534763,977,794561,1.422928,2016_026
565,902,52409,1387703,755,612553,1.475152,2016_026
627,987,59617,1517829,907,737215,3.505424,2016_026
579,979,53929,1504300,925,751295,1.452624,2016_026
593,988,55409,1520831,977,795629,1.38408,2016_026
660,984,64777,1512028,989,806040,2.493584,2016_026
615,986,58122,1519116,987,803214,1.795728,2016_026
569,998,52857,1534857,983,798949,1.392272,2016_026
575,980,57656,1497602,910,735143,2.31744,2016_026
713,1007,70736,1541525,1023,829951,7.657999,2016_026
652,1023,62820,1563771,1057,857072,9.579088,2016_026
628,997,60705,1533478,987,802477,5.486992,2016_026
630,1002,61467,1539595,935,760630,9.683598,2016_026
683,1018,66850,1563224,1075,874806,15.21352,2016_026
612,1011,57169,1553527,1051,854062,9.696399,2016_026
603,1001,56233,1540955,991,805004,9.878093,2016_026
613,1014,57893,1558171,983,798798,8.870989,2016_026
291,407,29622,620308,405,328764,3.593997,2015_612
255,402,25073,612568,419,338024,2.420879,2015_612
288,407,30053,618920,401,322748,0.775245,2015_612
282,390,28816,593992,385,310932,0.888397,2015_612
248,406,23492,618760,431,347568,3.095757,2015_612
273,408,26977,620571,393,315411,1.285709,2015_612
250,404,24369,615664,379,303596,0.720461,2015_612
279,405,27625,618666,410,331637,0.758272,2015_612
250,410,24301,624952,381,306528,0.742988,2015_612
275,409,26737,623404,453,365462,4.901196,2015_612
251,409,24541,622259,393,315440,2.853069,2015_612
248,406,23682,620220,389,312641,2.329741,2015_612
237,407,22885,621762,357,287872,1.857165,2015_612
231,406,22138,618760,399,322279,0.720974,2015_612
317,408,32655,621856,495,401389,3.835661,2015_612
315,407,33857,617388,423,340124,0.928332,2015_612
267,405,26105,618841,441,356051,6.018444,2015_612
257,409,25377,620490,371,298239,0.801805,2015_612
