Nr_packets_up,Nr_packets_down,Bytes_up,Bytes_down,Bursts,Bytes_in_bursts,Trace_time,Answer
12,9,1956,18115,13,13436,1.209407,https://en.wikipedia.org/wiki/%C5%BDbogar
11,9,1811,18045,9,8976,0.239615,https://en.wikipedia.org/wiki/%C5%BDbogar
8,9,1529,18046,8,8874,0.214528,https://en.wikipedia.org/wiki/%C5%BDbogar
9,9,1631,18046,11,10146,0.241215,https://en.wikipedia.org/wiki/%C5%BDbogar
11,9,1811,18047,11,10146,0.243199,https://en.wikipedia.org/wiki/%C5%BDbogar
12,8,1901,17321,11,10147,0.240639,https://en.wikipedia.org/wiki/%C5%BDbogar
10,10,1494,18148,13,10340,0.327679,https://en.wikipedia.org/wiki/%C5%BDbogar
10,9,1721,18047,11,10147,0.242239,https://en.wikipedia.org/wiki/%C5%BDbogar
13,9,1979,17417,11,9150,0.243711,https://en.wikipedia.org/wiki/%C5%BDbogar
11,9,1811,18046,11,10211,0.238591,https://en.wikipedia.org/wiki/%C5%BDbogar
12,9,1901,18060,13,11801,0.245759,https://en.wikipedia.org/wiki/%C5%BDbogar
9,9,1631,18047,11,10148,0.24019,https://en.wikipedia.org/wiki/%C5%BDbogar
11,9,1294,18048,9,8976,0.240639,https://en.wikipedia.org/wiki/%C5%BDbogar
11,9,1583,18049,11,10148,0.243711,https://en.wikipedia.org/wiki/%C5%BDbogar
12,9,1901,18049,9,8976,0.238079,https://en.wikipedia.org/wiki/%C5%BDbogar
9,9,1631,18049,11,10148,0.240703,https://en.wikipedia.org/wiki/%C5%BDbogar
11,9,1811,18048,11,10148,0.241151,https://en.wikipedia.org/wiki/%C5%BDbogar
8,8,796,14959,9,6970,0.238591,https://en.wikipedia.org/wiki/%C5%BDbogar
12,9,1901,18049,9,8976,0.241663,https://en.wikipedia.org/wiki/%C5%BDbogar
11,9,1811,18048,11,10148,0.241215,https://en.wikipedia.org/wiki/%C5%BDbogar
19,15,2613,31280,21,20490,0.639999,https://en.wikipedia.org/wiki/First_Arena
18,16,2441,37312,21,23685,0.276478,https://en.wikipedia.org/wiki/First_Arena
15,16,1879,37310,19,23328,0.269375,https://en.wikipedia.org/wiki/First_Arena
16,17,2261,37323,19,18969,0.270846,https://en.wikipedia.org/wiki/First_Arena
13,17,1991,37323,17,17329,0.280574,https://en.wikipedia.org/wiki/First_Arena
17,16,2351,37311,19,20508,0.270398,https://en.wikipedia.org/wiki/First_Arena
11,16,1812,37313,13,15838,0.860222,https://en.wikipedia.org/wiki/First_Arena
17,15,2351,34224,17,17330,0.267774,https://en.wikipedia.org/wiki/First_Arena
18,16,2441,37313,21,23686,0.268286,https://en.wikipedia.org/wiki/First_Arena
16,16,2261,37313,19,20572,0.271422,https://en.wikipedia.org/wiki/First_Arena
18,16,2441,37313,19,20509,0.275454,https://en.wikipedia.org/wiki/First_Arena
15,17,2171,37325,19,18971,0.27187,https://en.wikipedia.org/wiki/First_Arena
15,17,1654,37325,21,22149,0.269886,https://en.wikipedia.org/wiki/First_Arena
14,16,1564,34238,19,18971,0.270846,https://en.wikipedia.org/wiki/First_Arena
18,17,2442,37415,19,17524,0.607294,https://en.wikipedia.org/wiki/First_Arena
13,15,1991,34226,17,14970,0.27187,https://en.wikipedia.org/wiki/First_Arena
16,16,2261,37312,21,23687,0.269886,https://en.wikipedia.org/wiki/First_Arena
16,16,2261,37327,17,18625,0.27443,https://en.wikipedia.org/wiki/First_Arena
18,16,2441,37312,19,24866,0.270846,https://en.wikipedia.org/wiki/First_Arena
15,16,2171,37312,19,20509,0.277502,https://en.wikipedia.org/wiki/First_Arena
