Nr_packets_up,Nr_packets_down,Bytes_up,Bytes_down,Bursts,Bytes_in_bursts,Trace_time,Answer
13,19,1964,24757,19,12187,0.260625,https://en.wikipedia.org/wiki/U_Airlines
14,19,2052,24756,21,13063,0.265233,https://en.wikipedia.org/wiki/U_Airlines
13,18,1964,23210,19,11429,0.26325,https://en.wikipedia.org/wiki/U_Airlines
14,19,2052,24758,17,9792,0.258578,https://en.wikipedia.org/wiki/U_Airlines
14,19,2052,24759,19,11429,0.263186,https://en.wikipedia.org/wiki/U_Airlines
14,17,2052,22850,21,13063,0.263698,https://en.wikipedia.org/wiki/U_Airlines
13,19,1964,24758,19,11428,0.264786,https://en.wikipedia.org/wiki/U_Airlines
14,18,2052,23210,19,12187,0.261649,https://en.wikipedia.org/wiki/U_Airlines
13,18,1964,23210,15,8915,0.305682,https://en.wikipedia.org/wiki/U_Airlines
15,19,2152,24758,21,13063,0.267858,https://en.wikipedia.org/wiki/U_Airlines
14,18,2052,23210,19,12187,0.270865,https://en.wikipedia.org/wiki/U_Airlines
14,19,2052,24758,19,11427,0.260114,https://en.wikipedia.org/wiki/U_Airlines
14,17,2052,22853,17,10551,0.266257,https://en.wikipedia.org/wiki/U_Airlines
14,18,2052,23212,23,14697,0.262738,https://en.wikipedia.org/wiki/U_Airlines
13,19,1964,24758,17,10551,0.265233,https://en.wikipedia.org/wiki/U_Airlines
14,18,2052,23211,17,10551,0.25909,https://en.wikipedia.org/wiki/U_Airlines
13,19,1964,24758,19,11427,0.266769,https://en.wikipedia.org/wiki/U_Airlines
14,19,2052,24758,19,12187,0.263761,https://en.wikipedia.org/wiki/U_Airlines
14,18,2052,23211,21,13064,0.258066,https://en.wikipedia.org/wiki/U_Airlines
16,20,2273,25023,21,11780,0.260113,https://en.wikipedia.org/wiki/U_Airlines
12,16,1881,19140,19,10449,0.242193,https://en.wikipedia.org/wiki/Stigmella_alisa
13,17,1969,20686,19,11207,0.246865,https://en.wikipedia.org/wiki/Stigmella_alisa
12,17,1817,20687,19,10616,0.261649,https://en.wikipedia.org/wiki/Stigmella_alisa
13,17,1969,20687,17,8812,0.257553,https://en.wikipedia.org/wiki/Stigmella_alisa
12,17,1649,20688,19,11207,0.242258,https://en.wikipedia.org/wiki/Stigmella_alisa
6,7,1353,6187,6,2283,0.232977,https://en.wikipedia.org/wiki/Stigmella_alisa
11,16,1561,19962,19,11271,0.239634,https://en.wikipedia.org/wiki/Stigmella_alisa
13,16,1969,19140,21,12085,0.241681,https://en.wikipedia.org/wiki/Stigmella_alisa
14,18,2058,20788,21,11154,0.246354,https://en.wikipedia.org/wiki/Stigmella_alisa
11,15,1264,17593,20,11986,0.219136,https://en.wikipedia.org/wiki/Stigmella_alisa
11,16,1781,20589,17,10250,0.214033,https://en.wikipedia.org/wiki/Stigmella_alisa
13,17,1969,20687,13,6300,0.247314,https://en.wikipedia.org/wiki/Stigmella_alisa
12,17,1881,20687,19,10448,0.243281,https://en.wikipedia.org/wiki/Stigmella_alisa
12,17,1881,20687,17,9572,0.238098,https://en.wikipedia.org/wiki/Stigmella_alisa
13,17,1969,20688,19,11208,0.24885,https://en.wikipedia.org/wiki/Stigmella_alisa
13,17,1969,20688,19,11208,0.242194,https://en.wikipedia.org/wiki/Stigmella_alisa
13,17,1969,20689,17,8814,0.253009,https://en.wikipedia.org/wiki/Stigmella_alisa
13,17,1969,20689,19,11208,0.242705,https://en.wikipedia.org/wiki/Stigmella_alisa
11,17,1793,20688,16,8725,0.239633,https://en.wikipedia.org/wiki/Stigmella_alisa
14,18,2038,20952,23,12638,0.254482,https://en.wikipedia.org/wiki/Stigmella_alisa
