Nr_packets_up,Nr_packets_down,Bytes_up,Bytes_down,Bursts,Bytes_in_bursts,Trace_time,Answer
14,12,2084,23382,15,13993,0.367615,https://en.wikipedia.org/wiki/Franz_Asplmayr
9,11,1634,23151,11,10616,0.263231,https://en.wikipedia.org/wiki/Franz_Asplmayr
14,12,2085,23252,15,13984,0.778815,https://en.wikipedia.org/wiki/Franz_Asplmayr
14,11,2084,23151,13,13794,0.261119,https://en.wikipedia.org/wiki/Franz_Asplmayr
11,11,1814,23151,11,10616,0.261119,https://en.wikipedia.org/wiki/Franz_Asplmayr
13,11,1994,23151,11,10616,0.264255,https://en.wikipedia.org/wiki/Franz_Asplmayr
13,12,1982,23248,14,13866,0.450624,https://en.wikipedia.org/wiki/Franz_Asplmayr
14,11,2084,23151,11,10616,0.260607,https://en.wikipedia.org/wiki/Franz_Asplmayr
12,11,1904,23152,11,10616,0.263168,https://en.wikipedia.org/wiki/Franz_Asplmayr
14,11,2084,23152,11,10616,0.261183,https://en.wikipedia.org/wiki/Franz_Asplmayr
11,11,1814,23152,11,10616,0.261119,https://en.wikipedia.org/wiki/Franz_Asplmayr
16,12,2264,23248,15,13980,0.259584,https://en.wikipedia.org/wiki/Franz_Asplmayr
11,11,1519,23153,11,12154,0.261696,https://en.wikipedia.org/wiki/Franz_Asplmayr
14,11,2084,23152,13,13794,0.264192,https://en.wikipedia.org/wiki/Franz_Asplmayr
9,11,1339,23154,11,10616,0.260095,https://en.wikipedia.org/wiki/Franz_Asplmayr
14,11,2084,23153,11,10615,0.264192,https://en.wikipedia.org/wiki/Franz_Asplmayr
14,11,2084,23154,13,13794,0.259135,https://en.wikipedia.org/wiki/Franz_Asplmayr
14,11,2084,23153,11,10615,0.262656,https://en.wikipedia.org/wiki/Franz_Asplmayr
14,11,2084,23153,13,13793,0.264191,https://en.wikipedia.org/wiki/Franz_Asplmayr
14,11,2084,23154,13,13793,0.261632,https://en.wikipedia.org/wiki/Franz_Asplmayr
14,14,2091,26638,19,17312,0.702528,https://en.wikipedia.org/wiki/Hugh_Walters_(writer)
14,12,2091,26481,13,13794,0.260095,https://en.wikipedia.org/wiki/Hugh_Walters_(writer)
10,12,1731,26480,11,10616,0.261184,https://en.wikipedia.org/wiki/Hugh_Walters_(writer)
13,12,1989,26480,12,13692,0.235008,https://en.wikipedia.org/wiki/Hugh_Walters_(writer)
11,11,1304,26469,9,8976,0.285696,https://en.wikipedia.org/wiki/Hugh_Walters_(writer)
16,13,2581,26578,14,12568,1.123904,https://en.wikipedia.org/wiki/Hugh_Walters_(writer)
10,12,1731,26481,9,8976,0.265792,https://en.wikipedia.org/wiki/Hugh_Walters_(writer)
13,11,1937,23393,13,12496,0.264705,https://en.wikipedia.org/wiki/Hugh_Walters_(writer)
9,12,1339,26482,11,10616,0.260097,https://en.wikipedia.org/wiki/Hugh_Walters_(writer)
11,12,1304,26482,13,13794,0.260673,https://en.wikipedia.org/wiki/Hugh_Walters_(writer)
10,12,1667,26483,13,13794,0.26368,https://en.wikipedia.org/wiki/Hugh_Walters_(writer)
7,12,868,26482,8,7336,0.23552,https://en.wikipedia.org/wiki/Hugh_Walters_(writer)
7,12,880,26483,11,10854,0.266241,https://en.wikipedia.org/wiki/Hugh_Walters_(writer)
10,13,1430,26584,9,9828,0.263745,https://en.wikipedia.org/wiki/Hugh_Walters_(writer)
15,13,1652,26580,15,12671,0.263169,https://en.wikipedia.org/wiki/Hugh_Walters_(writer)
9,12,1577,26483,13,15332,0.264193,https://en.wikipedia.org/wiki/Hugh_Walters_(writer)
11,12,1757,26483,13,13794,0.263168,https://en.wikipedia.org/wiki/Hugh_Walters_(writer)
6,12,552,26497,9,7451,0.263745,https://en.wikipedia.org/wiki/Hugh_Walters_(writer)
13,12,2001,26484,11,10616,0.262145,https://en.wikipedia.org/wiki/Hugh_Walters_(writer)
11,12,1002,26484,13,15332,0.264705,https://en.wikipedia.org/wiki/Hugh_Walters_(writer)
