Nr_packets_up,Nr_packets_down,Bytes_up,Bytes_down,Bursts,Bytes_in_bursts,Trace_time,Answer
14,19,2054,23708,23,13645,0.287761,https://en.wikipedia.org/wiki/Losino_horse
14,19,2054,23710,19,12187,0.261713,https://en.wikipedia.org/wiki/Losino_horse
14,17,2054,22062,21,13459,0.264209,https://en.wikipedia.org/wiki/Losino_horse
14,19,2054,23710,13,7279,0.261137,https://en.wikipedia.org/wiki/Losino_horse
14,19,2054,23709,19,12187,0.272401,https://en.wikipedia.org/wiki/Losino_horse
14,19,2054,23710,21,13064,0.262737,https://en.wikipedia.org/wiki/Losino_horse
14,18,2054,23610,19,12876,0.259601,https://en.wikipedia.org/wiki/Losino_horse
15,18,2154,22161,21,13835,0.265233,https://en.wikipedia.org/wiki/Losino_horse
14,18,2054,22161,21,13063,0.259089,https://en.wikipedia.org/wiki/Losino_horse
14,18,2054,22163,13,7279,0.262225,https://en.wikipedia.org/wiki/Losino_horse
14,16,2054,21446,21,13202,0.257042,https://en.wikipedia.org/wiki/Losino_horse
15,19,2154,23711,25,15296,0.267794,https://en.wikipedia.org/wiki/Losino_horse
13,19,1737,23710,21,13063,0.300113,https://en.wikipedia.org/wiki/Losino_horse
14,18,2054,23611,19,12876,0.258065,https://en.wikipedia.org/wiki/Losino_horse
16,19,2254,23712,21,13077,0.264722,https://en.wikipedia.org/wiki/Losino_horse
14,19,2054,23712,21,13065,0.260113,https://en.wikipedia.org/wiki/Losino_horse
13,17,1966,22064,19,11825,0.268882,https://en.wikipedia.org/wiki/Losino_horse
20,16,4275,21309,13,6564,1.019986,https://en.wikipedia.org/wiki/Losino_horse
14,18,2054,22163,19,11135,0.266769,https://en.wikipedia.org/wiki/Losino_horse
15,20,2130,23806,18,9863,1.02304,https://en.wikipedia.org/wiki/Losino_horse
16,21,2253,27684,19,11253,0.269393,https://en.wikipedia.org/wiki/Dirt_(Dean_Brody_album)
15,20,2153,26135,21,13648,0.266258,https://en.wikipedia.org/wiki/Dirt_(Dean_Brody_album)
15,18,2153,25417,17,11565,0.272401,https://en.wikipedia.org/wiki/Dirt_(Dean_Brody_album)
15,20,2153,26137,23,14526,0.261201,https://en.wikipedia.org/wiki/Dirt_(Dean_Brody_album)
14,20,2065,26137,19,11429,0.271377,https://en.wikipedia.org/wiki/Dirt_(Dean_Brody_album)
15,20,2153,26136,19,12012,0.291346,https://en.wikipedia.org/wiki/Dirt_(Dean_Brody_album)
15,20,2153,26136,17,9617,0.267282,https://en.wikipedia.org/wiki/Dirt_(Dean_Brody_album)
15,21,2153,27683,23,14699,0.259666,https://en.wikipedia.org/wiki/Dirt_(Dean_Brody_album)
16,20,2253,26136,19,12187,0.258578,https://en.wikipedia.org/wiki/Dirt_(Dean_Brody_album)
16,19,2253,24588,19,11427,0.271377,https://en.wikipedia.org/wiki/Dirt_(Dean_Brody_album)
15,20,2153,26136,23,14525,0.270417,https://en.wikipedia.org/wiki/Dirt_(Dean_Brody_album)
14,20,2001,26138,21,13823,0.272401,https://en.wikipedia.org/wiki/Dirt_(Dean_Brody_album)
13,15,1977,21033,15,9603,0.269842,https://en.wikipedia.org/wiki/Dirt_(Dean_Brody_album)
15,20,2153,26137,17,10377,0.273938,https://en.wikipedia.org/wiki/Dirt_(Dean_Brody_album)
15,19,2153,24589,19,12013,0.262738,https://en.wikipedia.org/wiki/Dirt_(Dean_Brody_album)
15,20,2153,26138,23,14527,0.274962,https://en.wikipedia.org/wiki/Dirt_(Dean_Brody_album)
15,20,2153,26136,21,13649,0.262162,https://en.wikipedia.org/wiki/Dirt_(Dean_Brody_album)
15,20,2141,24683,22,14236,0.891904,https://en.wikipedia.org/wiki/Dirt_(Dean_Brody_album)
13,20,1965,26138,22,14944,0.247872,https://en.wikipedia.org/wiki/Dirt_(Dean_Brody_album)
15,19,2153,26037,13,7794,0.272402,https://en.wikipedia.org/wiki/Dirt_(Dean_Brody_album)
